"GeneSymbol","Class","GeneSymbolClass"
"DDX11L1","transcribed_unprocessed_pseudogene","DDX11L1_transcribed_unprocessed_pseudogene"
"WASH7P","unprocessed_pseudogene","WASH7P_unprocessed_pseudogene"
"MIR6859-1","miRNA","MIR6859-1_miRNA"
"MIR1302-2HG","lncRNA","MIR1302-2HG_lncRNA"
"MIR1302-2","miRNA","MIR1302-2_miRNA"
"FAM138A","lncRNA","FAM138A_lncRNA"
"OR4G4P","unprocessed_pseudogene","OR4G4P_unprocessed_pseudogene"
"OR4G11P","transcribed_unprocessed_pseudogene","OR4G11P_transcribed_unprocessed_pseudogene"
"OR4F5","protein_coding","OR4F5_protein_coding"
"ENSG00000238009","lncRNA","ENSG00000238009_lncRNA"
"ENSG00000239945","lncRNA","ENSG00000239945_lncRNA"
"CICP27","processed_pseudogene","CICP27_processed_pseudogene"
"ENSG00000268903","processed_pseudogene","ENSG00000268903_processed_pseudogene"
"ENSG00000269981","processed_pseudogene","ENSG00000269981_processed_pseudogene"
"ENSG00000239906","lncRNA","ENSG00000239906_lncRNA"
"ENSG00000241860","lncRNA","ENSG00000241860_lncRNA"
"RNU6-1100P","snRNA","RNU6-1100P_snRNA"
"ENSG00000241599","lncRNA","ENSG00000241599_lncRNA"
"DDX11L17","unprocessed_pseudogene","DDX11L17_unprocessed_pseudogene"
"WASH9P","unprocessed_pseudogene","WASH9P_unprocessed_pseudogene"
"MIR6859-2","miRNA","MIR6859-2_miRNA"
"ENSG00000228463","transcribed_processed_pseudogene","ENSG00000228463_transcribed_processed_pseudogene"
"ENSG00000286448","lncRNA","ENSG00000286448_lncRNA"
"RPL23AP24","processed_pseudogene","RPL23AP24_processed_pseudogene"
"ENSG00000236601","lncRNA","ENSG00000236601_lncRNA"
"ENSG00000237094","transcribed_unprocessed_pseudogene","ENSG00000237094_transcribed_unprocessed_pseudogene"
"WBP1LP7","processed_pseudogene","WBP1LP7_processed_pseudogene"
"OR4F29","protein_coding","OR4F29_protein_coding"
"CICP7","processed_pseudogene","CICP7_processed_pseudogene"
"ENSG00000250575","unprocessed_pseudogene","ENSG00000250575_unprocessed_pseudogene"
"U6","snRNA","U6_snRNA"
"ENSG00000230021","transcribed_processed_pseudogene","ENSG00000230021_transcribed_processed_pseudogene"
"ENSG00000235146","lncRNA","ENSG00000235146_lncRNA"
"MTND1P23","unprocessed_pseudogene","MTND1P23_unprocessed_pseudogene"
"MTND2P28","unprocessed_pseudogene","MTND2P28_unprocessed_pseudogene"
"MTCO1P12","unprocessed_pseudogene","MTCO1P12_unprocessed_pseudogene"
"ENSG00000278791","miRNA","ENSG00000278791_miRNA"
"MTCO2P12","unprocessed_pseudogene","MTCO2P12_unprocessed_pseudogene"
"MTATP8P1","unprocessed_pseudogene","MTATP8P1_unprocessed_pseudogene"
"MTATP6P1","unprocessed_pseudogene","MTATP6P1_unprocessed_pseudogene"
"MTCO3P12","unprocessed_pseudogene","MTCO3P12_unprocessed_pseudogene"
"WBP1LP6","processed_pseudogene","WBP1LP6_processed_pseudogene"
"OR4F16","protein_coding","OR4F16_protein_coding"
"CICP3","processed_pseudogene","CICP3_processed_pseudogene"
"ENSG00000228327","transcribed_unprocessed_pseudogene","ENSG00000228327_transcribed_unprocessed_pseudogene"
"RNU6-1199P","snRNA","RNU6-1199P_snRNA"
"ENSG00000229905","lncRNA","ENSG00000229905_lncRNA"
"LINC01409","lncRNA","LINC01409_lncRNA"
"ENSG00000285268","transcribed_processed_pseudogene","ENSG00000285268_transcribed_processed_pseudogene"
"ENSG00000230092","transcribed_unprocessed_pseudogene","ENSG00000230092_transcribed_unprocessed_pseudogene"
"FAM87B","lncRNA","FAM87B_lncRNA"
"LINC01128","lncRNA","LINC01128_lncRNA"
"LINC00115","lncRNA","LINC00115_lncRNA"
"ENSG00000288531","lncRNA","ENSG00000288531_lncRNA"
"FAM41C","lncRNA","FAM41C_lncRNA"
"TUBB8P11","unprocessed_pseudogene","TUBB8P11_unprocessed_pseudogene"
"ENSG00000283040","transcribed_unprocessed_pseudogene","ENSG00000283040_transcribed_unprocessed_pseudogene"
"ENSG00000272438","lncRNA","ENSG00000272438_lncRNA"
"ENSG00000230699","lncRNA","ENSG00000230699_lncRNA"
"ENSG00000241180","lncRNA","ENSG00000241180_lncRNA"
"LINC02593","lncRNA","LINC02593_lncRNA"
"SAMD11","protein_coding","SAMD11_protein_coding"
"NOC2L","protein_coding","NOC2L_protein_coding"
"KLHL17","protein_coding","KLHL17_protein_coding"
"PLEKHN1","protein_coding","PLEKHN1_protein_coding"
"PERM1","protein_coding","PERM1_protein_coding"
"ENSG00000272512","lncRNA","ENSG00000272512_lncRNA"
"HES4","protein_coding","HES4_protein_coding"
"ISG15","protein_coding","ISG15_protein_coding"
"ENSG00000231702","processed_pseudogene","ENSG00000231702_processed_pseudogene"
"ENSG00000224969","lncRNA","ENSG00000224969_lncRNA"
"AGRN","protein_coding","AGRN_protein_coding"
"ENSG00000242590","lncRNA","ENSG00000242590_lncRNA"
"ENSG00000217801","transcribed_unprocessed_pseudogene","ENSG00000217801_transcribed_unprocessed_pseudogene"
"ENSG00000273443","lncRNA","ENSG00000273443_lncRNA"
"RNF223","protein_coding","RNF223_protein_coding"
"C1orf159","protein_coding","C1orf159_protein_coding"
"ENSG00000285812","lncRNA","ENSG00000285812_lncRNA"
"LINC01342","lncRNA","LINC01342_lncRNA"
"MIR200B","miRNA","MIR200B_miRNA"
"MIR200A","miRNA","MIR200A_miRNA"
"MIR429","miRNA","MIR429_miRNA"
"ENSG00000272141","lncRNA","ENSG00000272141_lncRNA"
"TTLL10-AS1","lncRNA","TTLL10-AS1_lncRNA"
"TTLL10","protein_coding","TTLL10_protein_coding"
"TNFRSF18","protein_coding","TNFRSF18_protein_coding"
"TNFRSF4","protein_coding","TNFRSF4_protein_coding"
"SDF4","protein_coding","SDF4_protein_coding"
"B3GALT6","protein_coding","B3GALT6_protein_coding"
"C1QTNF12","protein_coding","C1QTNF12_protein_coding"
"ENSG00000260179","lncRNA","ENSG00000260179_lncRNA"
"UBE2J2","protein_coding","UBE2J2_protein_coding"
"LINC01786","lncRNA","LINC01786_lncRNA"
"SCNN1D","protein_coding","SCNN1D_protein_coding"
"ACAP3","protein_coding","ACAP3_protein_coding"
"MIR6726","miRNA","MIR6726_miRNA"
"PUSL1","protein_coding","PUSL1_protein_coding"
"INTS11","protein_coding","INTS11_protein_coding"
"MIR6727","miRNA","MIR6727_miRNA"
"ENSG00000240731","lncRNA","ENSG00000240731_lncRNA"
"CPTP","protein_coding","CPTP_protein_coding"
"TAS1R3","protein_coding","TAS1R3_protein_coding"
"DVL1","protein_coding","DVL1_protein_coding"
"MIR6808","miRNA","MIR6808_miRNA"
"MXRA8","protein_coding","MXRA8_protein_coding"
"AURKAIP1","protein_coding","AURKAIP1_protein_coding"
"NDUFB4P8","processed_pseudogene","NDUFB4P8_processed_pseudogene"
"CCNL2","protein_coding","CCNL2_protein_coding"
"MRPL20-AS1","lncRNA","MRPL20-AS1_lncRNA"
"MRPL20","protein_coding","MRPL20_protein_coding"
"RN7SL657P","misc_RNA","RN7SL657P_misc_RNA"
"MRPL20-DT","lncRNA","MRPL20-DT_lncRNA"
"ANKRD65","protein_coding","ANKRD65_protein_coding"
"ANKRD65-AS1","lncRNA","ANKRD65-AS1_lncRNA"
"TMEM88B","protein_coding","TMEM88B_protein_coding"
"LINC01770","lncRNA","LINC01770_lncRNA"
"VWA1","protein_coding","VWA1_protein_coding"
"ATAD3C","protein_coding","ATAD3C_protein_coding"
"ATAD3B","protein_coding","ATAD3B_protein_coding"
"ENSG00000284740","transcribed_unprocessed_pseudogene","ENSG00000284740_transcribed_unprocessed_pseudogene"
"ATAD3A","protein_coding","ATAD3A_protein_coding"
"TMEM240","protein_coding","TMEM240_protein_coding"
